,CaptureEventID,notblank
0,ASG0000001,0
1,ASG0000002,0
2,ASG0000003,1
3,ASG0000004,0
4,ASG0000005,1
5,ASG0000006,1
6,ASG0000007,0
7,ASG0000008,1
8,ASG0000009,0
9,ASG000000a,0
10,ASG000000b,1
11,ASG000000c,1
12,ASG000000d,0
13,ASG000000e,0
14,ASG000000f,0
15,ASG000000g,0
16,ASG000000h,0
17,ASG000000i,0
18,ASG000000j,0
19,ASG000000k,0
20,ASG000000l,0
21,ASG000000m,0
22,ASG000000n,0
23,ASG000000o,1
24,ASG000000p,0
25,ASG000000q,1
26,ASG000000r,1
27,ASG000000s,1
28,ASG000000t,0
29,ASG000000u,1
30,ASG000000v,0
31,ASG000000w,0
32,ASG000000x,0
33,ASG000000y,0
34,ASG000000z,1
35,ASG0000010,0
36,ASG0000011,1
37,ASG0000012,1
38,ASG0000013,0
39,ASG0000014,0
40,ASG0000015,1
41,ASG0000016,1
42,ASG0000017,1
43,ASG0000018,1
44,ASG0000019,0
45,ASG000001a,0
46,ASG000001b,0
47,ASG000001c,1
48,ASG000001d,0
49,ASG000001e,1
50,ASG000001f,1
51,ASG000001g,1
52,ASG000001h,0
53,ASG000001i,1
54,ASG000001j,1
55,ASG000001k,0
56,ASG000001l,1
57,ASG000001m,0
58,ASG000001n,0
59,ASG000001o,1
60,ASG000001p,1
61,ASG000001q,1
62,ASG000001r,1
63,ASG000001s,1
64,ASG000001t,0
65,ASG000001u,0
66,ASG000001v,1
67,ASG000001w,1
68,ASG000001x,0
69,ASG000001y,0
70,ASG000001z,1
71,ASG0000020,1
72,ASG0000021,1
73,ASG0000022,1
74,ASG0000023,0
75,ASG0000024,0
76,ASG0000025,0
77,ASG0000026,0
78,ASG0000027,1
79,ASG0000028,1
80,ASG0000029,1
81,ASG000002a,1
82,ASG000002b,1
83,ASG000002c,0
84,ASG000002d,1
85,ASG000002e,0
86,ASG000002f,0
87,ASG000002g,1
88,ASG000002h,1
89,ASG000002i,1
90,ASG000002j,1
91,ASG000002k,1
92,ASG000002l,1
93,ASG000002m,0
94,ASG000002n,0
95,ASG000002o,0
96,ASG000002p,0
97,ASG000002q,0
98,ASG000002r,0
99,ASG000002s,0
100,ASG000002t,0
101,ASG000002u,0
102,ASG000002v,0
103,ASG000002w,0
104,ASG000002x,0
105,ASG000002y,0
106,ASG000002z,1
107,ASG0000030,0
108,ASG0000031,0
109,ASG0000032,1
110,ASG0000033,0
111,ASG0000034,0
112,ASG0000035,1
113,ASG0000036,0
114,ASG0000037,1
115,ASG0000038,0
116,ASG0000039,1
117,ASG000003a,1
118,ASG000003b,1
119,ASG000003c,1
120,ASG000003d,0
121,ASG000003e,0
122,ASG000003f,1
123,ASG000003g,1
124,ASG000003h,0
125,ASG000003i,1
126,ASG000003j,1
127,ASG000003k,1
128,ASG000003l,1
129,ASG000003m,0
130,ASG000003n,0
131,ASG000003o,1
132,ASG000003p,0
133,ASG000003q,1
134,ASG000003r,0
135,ASG000003s,0
136,ASG000003t,1
137,ASG000003u,1
138,ASG000003v,0
139,ASG000003w,0
140,ASG000003x,1
141,ASG000003y,1
142,ASG000003z,1
143,ASG0000040,0
144,ASG0000041,1
145,ASG0000042,1
146,ASG0000043,1
147,ASG0000044,1
148,ASG0000045,0
149,ASG0000046,0
150,ASG0000047,1
151,ASG0000048,0
152,ASG0000049,0
153,ASG000004a,1
154,ASG000004b,1
155,ASG000004c,1
156,ASG000004d,0
157,ASG000004e,1
158,ASG000004f,0
159,ASG000004g,1
160,ASG000004h,1
161,ASG000004i,1
162,ASG000004j,1
163,ASG000004k,1
164,ASG000004l,1
165,ASG000004m,1
166,ASG000004n,1
167,ASG000004o,1
168,ASG000004p,1
169,ASG000004q,1
170,ASG000004r,1
171,ASG000004s,1
172,ASG000004t,1
173,ASG000004u,1
174,ASG000004v,1
175,ASG000004w,1
176,ASG000004x,1
177,ASG000004y,1
178,ASG000004z,1
179,ASG0000050,1
180,ASG0000051,1
181,ASG0000052,1
182,ASG0000053,1
183,ASG0000054,1
184,ASG0000055,1
185,ASG0000056,1
